Reference, Value, Footprint, Datasheet, mfg,mfg#, vend1,vend1#
"C7","0.1uF","SM0805","","avx,08055C104KAT2A","DIGI,478-1395-1-ND"
"R15","1k","SM0805","","Panasonic,ERA-6AEB102V","DIGI,P1.0KDACT-ND"
"R13","100k","SM0805","","vishay,CRCW0805100KFKEA","DIGI,541-100KCCT-ND"
"C6","0.033uF","SM0805","","tdk,CGA4J2C0G1H333J125AA","DIGI,445-6950-1-ND"
"R8","1k","SM0805","","Panasonic,ERA-6AEB102V","DIGI,P1.0KDACT-ND"
"R4","61.9","SM0805","","vishay,CRCW080561R9FKEA","DIGI,541-61.9CCT-ND"
"R5","10k","SM0805","","BOURNS,CR0805-FX-1002ELF","DIGI,CR0805-FX-1002ELFCT-ND"
"C2","0.033uF","SM0805","","tdk,CGA4J2C0G1H333J125AA","DIGI,445-6950-1-ND"
"R12","100k","SM0805","","vishay,CRCW0805100KFKEA","DIGI,541-100KCCT-ND"
"C1","1000pF","SM0805","","avx,08052C102KAT2A ","DIGI,478-1339-1-ND"
"R6","6.8k","SM0805","","vishay,CRCW08056K80FKEA","DIGI,541-6.80KCCT-ND"
"C5","220pf","SM0805","","avx,08051A221JAT2A","DIGI,478-1286-1-ND"
"R1","10k","SM0805","","BOURNS,CR0805-FX-1002ELF","DIGI,CR0805-FX-1002ELFCT-ND"
"C4","0.1uF","SM0805","","avx,08055C104KAT2A","DIGI,478-1395-1-ND"
"R7","10k","SM0805","","BOURNS,CR0805-FX-1002ELF","DIGI,CR0805-FX-1002ELFCT-ND"
"R9","82.5","SM0805","","vishay,CRCW080582R5FKEA","DIGI,541-82.5CCT-ND"
"R14","470k","SM0805","","vishay,CRCW0805470KFKEA","DIGI,541-470KCCT-ND"
"R11","4.7k","SM0805","","vishay,CRCW08054K70FKEA","DIGI,541-4.70KCCT-ND"
"C8","0.033uF","SM0805","","tdk,CGA4J2C0G1H333J125AA","DIGI,445-6950-1-ND"
"U1","CJ125","SOIC-24_7.5x15.4mm_Pitch1.27mm","","bosh,CJ125-1267379259","future,1267379259"
"R10","117.5","SM0805","","Panasonic,ERJ-6ENF1180V","DIGI,P118CCT-ND"
"Q1","FDS2734","SO8E_ST","","ST,VNS14NV04","DIGI,497-11123-1-ND"
"W2","TEST","R_0603","","dnp,dnp","dnp,dnp"
"R2","21k6","SM0805","","vishay,CRCW080521K5FKEA","DIGI,541-21.5KCCT-ND"
"W1","TEST","R_0603","","dnp,dnp","dnp,dnp"
"R3","0R","SM0805","","Matsushita,ERJ6GEY0R00V","DIGI,P0.0ADKR-ND"
"C3","DNP","SM0805","","avx,08055C104KAT2A","DIGI,478-1395-1-ND"
"P4","CONN_02X03","Socket_Strips:Socket_Strip_Straight_2x03","","dnp,dnp","dnp,dnp"
"P8","CONN_02X05","Socket_Strips:Socket_Strip_Straight_2x05","","dnp,dnp","dnp,dnp"
"R16","10k","SM0805","","BOURNS,CR0805-FX-1002ELF","DIGI,CR0805-FX-1002ELFCT-ND"
"C9","0.033uF","SM0805","","tdk,CGA4J2C0G1H333J125AA","DIGI,445-6950-1-ND"
"R17","6.8k","rsuEFI_Lib:R_0805","","vishay,CRCW08056K80FKEA","DIGI,541-6.80KCCT-ND"
"R18","10k","rsuEFI_Lib:R_0805","","BOURNS,CR0805-FX-1002ELF","DIGI,CR0805-FX-1002ELFCT-ND"
"R19","6.8k","rsuEFI_Lib:R_0805","","vishay,CRCW08056K80FKEA","DIGI,541-6.80KCCT-ND"
"R20","10k","rsuEFI_Lib:R_0805","","BOURNS,CR0805-FX-1002ELF","DIGI,CR0805-FX-1002ELFCT-ND"
"D2","LED","LEDs:LED_0805","","lite-on,LTST-C170TBKT","DIGI,160-1579-1-ND"
"R22","1k","rsuEFI_Lib:R_0805","","Panasonic,ERA-6AEB102V","DIGI,P1.0KDACT-ND"
"D1","LED","LEDs:LED_0805","","lite-on,LTST-C170TBKT","DIGI,160-1579-1-ND"
"R21","4.7k","rsuEFI_Lib:R_0805","","vishay,CRCW08054K70FKEA","DIGI,541-4.70KCCT-ND"
