Designator,Mid X,Mid Y,Layer,Rotation
C8,-11.9380mm,31.4960mm,Bottom,180
C9,-8.1280mm,31.4960mm,Bottom,0
C10,-11.9380mm,29.5910mm,Bottom,180
C11,-11.9380mm,33.4010mm,Bottom,180
C12,-15.7480mm,40.2590mm,Bottom,270
C13,-17.6530mm,40.2590mm,Bottom,270
C23,-29.7180mm,50.5460mm,Bottom,270
C24,-22.7330mm,50.5460mm,Bottom,270
C28,-11.3030mm,42.2910mm,Bottom,90
C35,-48.7680mm,76.5810mm,Bottom,90
C36,-35.4330mm,67.6910mm,Bottom,90
C37,-49.4030mm,99.4410mm,Bottom,90
C38,-36.0680mm,90.5510mm,Bottom,90
C41,-29.0830mm,36.5760mm,Bottom,270
C43,-32.2580mm,61.9760mm,Bottom,180
C44,-32.2580mm,79.7560mm,Bottom,180
C45,-32.2580mm,84.8360mm,Bottom,180
C46,-32.2580mm,102.6160mm,Bottom,180
C47,-22.0980mm,78.4860mm,Bottom,90
C48,-22.0980mm,62.6110mm,Bottom,270
C49,-22.0980mm,84.8360mm,Bottom,270
C50,-22.0980mm,101.3460mm,Bottom,90
C55,-8.1280mm,76.5810mm,Bottom,270
C56,-8.1280mm,67.6910mm,Bottom,270
C57,-8.1280mm,90.5510mm,Bottom,270
C58,-8.1280mm,99.4410mm,Bottom,270
C59,-11.9380mm,35.3060mm,Bottom,180
C60,-11.9380mm,37.2110mm,Bottom,180
C63,-36.0680mm,110.8710mm,Bottom,90
C65,-32.2580mm,105.1560mm,Bottom,180
C67,-22.0980mm,105.1560mm,Bottom,270
C71,-9.3980mm,110.8710mm,Bottom,270
C73,-11.9380mm,39.1160mm,Bottom,180
R9,-29.7180mm,54.3560mm,Bottom,270
R10,-22.7330mm,54.3560mm,Bottom,270
R15,-46.8630mm,94.3610mm,Bottom,270
R16,-36.0680mm,84.8360mm,Bottom,270
R17,-10.6680mm,60.0710mm,Bottom,270
R18,-10.6680mm,63.2460mm,Bottom,180
R19,-10.6680mm,86.1060mm,Bottom,180
R20,-10.6680mm,82.9310mm,Bottom,270
R21,-9.3980mm,72.1360mm,Bottom,180
R22,-9.3980mm,94.9960mm,Bottom,180
R23,-34.7980mm,105.1560mm,Bottom,270
R24,-10.0330mm,105.1560mm,Bottom,270
R26,-6.8580mm,110.8710mm,Bottom,270
