Reference, Value, Footprint, Datasheet, MFG,MFG#, VEND1,VEND1#, VEND2,VEND2#, Field6, Field7, Field8, V, tolerance, construct, misc
"C104","0.1uF","SM0805","","AVX,08055C104KAT2A","DIGI,478-1395-1-ND","","","","","","","",""
"R107","5k","SM0805","","STACKPOLE,RNCP0805FTD4K99","DIGI,RNCP0805FTD4K99CT-ND","","","","","","","",""
"R102","5k","SM0805","","STACKPOLE,RNCP0805FTD4K99","DIGI,RNCP0805FTD4K99CT-ND","","","","","","","",""
"R103","5k","SM0805","","STACKPOLE,RNCP0805FTD4K99","DIGI,RNCP0805FTD4K99CT-ND","","","","","","","",""
"R108","5k","SM0805","","STACKPOLE,RNCP0805FTD4K99","DIGI,RNCP0805FTD4K99CT-ND","","","","","","","",""
"R106","5k","SM0805","","STACKPOLE,RNCP0805FTD4K99","DIGI,RNCP0805FTD4K99CT-ND","","","","","","","",""
"R104","5k","SM0805","","STACKPOLE,RNCP0805FTD4K99","DIGI,RNCP0805FTD4K99CT-ND","","","","","","","",""
"R109","5k","SM0805","","STACKPOLE,RNCP0805FTD4K99","DIGI,RNCP0805FTD4K99CT-ND","","","","","","","",""
"R110","5k","SM0805","","STACKPOLE,RNCP0805FTD4K99","DIGI,RNCP0805FTD4K99CT-ND","","","","","","","",""
"R111","5k","SM0805","","STACKPOLE,RNCP0805FTD4K99","DIGI,RNCP0805FTD4K99CT-ND","","","","","","","",""
"R112","5k","SM0805","","STACKPOLE,RNCP0805FTD4K99","DIGI,RNCP0805FTD4K99CT-ND","","","","","","","",""
"U101","MAX9926/9927","maxim-10-QSOP16","","maxim,MAX9926UAEE+","DIGI,MAX9926UAEE+-ND","mouser,700-MAX9926UAEE","--","-","other,more,stuff","","","",""
"R114","10k","SM0805","","BOURNS,CR0805-FX-1002ELF","DIGI,CR0805-FX-1002ELFCT-ND","","","","","","","",""
"C102","1000pF","SM0805","","AVX,08052C102KAT2A ","DIGI,478-1339-1-ND","","","","","","","",""
"C103","10uF","SM0805","","Murata,GRM21BR71A106KE51L","DIGI,490-3905-1-ND","","","","","10V","10%","multi layer ceramic","other,more,stuff"
"C101","1000pF","SM0805","","AVX,08052C102KAT2A ","DIGI,478-1339-1-ND","","","","","","","",""
"R113","10k","SM0805","","BOURNS,CR0805-FX-1002ELF","DIGI,CR0805-FX-1002ELFCT-ND","","","","","","","",""
"W1003","JMP","SM0805","","DNP,DNP","DNP,DNP","","","","","","","",""
"W1002","JMP","SM0805","","DNP,DNP","DNP,DNP","","","","","","","",""
"R137","1K","SM0805","","Panasonic,ERA-6AEB102V","DIGI,P1.0KDACT-ND","","","","","","","",""
"R141","1K","SM0805","","Panasonic,ERA-6AEB102V","DIGI,P1.0KDACT-ND","","","","","","","",""
"R801","pdwn","SM0805","","DNP,DNP","DNP,DNP","","","","","","","",""
"R802","pdwn","SM0805","","DNP,DNP","DNP,DNP","","","","","","","",""
"DCO1","LED-red","LED_0805","","lite-on,LTST-C171KRKT","DIGI,160-1427-1-ND","","","","","","","",""
"DCO2","LED-red","LED_0805","","lite-on,LTST-C171KRKT","DIGI,160-1427-1-ND","","","","","","","",""
"5V1","CONN_01X01","Wire_Pads:SolderWirePad_single_0-8mmDrill","","HIROSE,H2ABT-10103-A4","DIGI,H2ABT-10103-A4-ND","","","","","","","",""
"DPWR1","LED-red","LED_0805","","lite-on,LTST-C171KRKT","DIGI,160-1427-1-ND","","","","","","","",""
"R101","10k","SM0805","","BOURNS,CR0805-FX-1002ELF","DIGI,CR0805-FX-1002ELFCT-ND","","","","","","","",""
"GND1","CONN_01X01","Wire_Pads:SolderWirePad_single_0-8mmDrill","","HIROSE,H2ABT-10103-A4","DIGI,H2ABT-10103-A4-ND","","","","","","","",""
"5V2","CONN_01X01","Wire_Pads:SolderWirePad_single_0-8mmDrill","","HIROSE,H2ABT-10103-A4","DIGI,H2ABT-10103-A4-ND","","","","","","","",""
"O2","CONN_01X01","Wire_Pads:SolderWirePad_single_0-8mmDrill","","HIROSE,H2ABT-10103-A4","DIGI,H2ABT-10103-A4-ND","","","","","","","",""
"O1","CONN_01X01","Wire_Pads:SolderWirePad_single_0-8mmDrill","","HIROSE,H2ABT-10103-A4","DIGI,H2ABT-10103-A4-ND","","","","","","","",""
"GND2","CONN_01X01","Wire_Pads:SolderWirePad_single_0-8mmDrill","","HIROSE,H2ABT-10103-A4","DIGI,H2ABT-10103-A4-ND","","","","","","","",""
"C+2","CONN_01X01","Wire_Pads:SolderWirePad_single_0-8mmDrill","","HIROSE,H2ABT-10103-A4","DIGI,H2ABT-10103-A4-ND","","","","","","","",""
"C-2","CONN_01X01","Wire_Pads:SolderWirePad_single_0-8mmDrill","","HIROSE,H2ABT-10103-A4","DIGI,H2ABT-10103-A4-ND","","","","","","","",""
"C-1","CONN_01X01","Wire_Pads:SolderWirePad_single_0-8mmDrill","","HIROSE,H2ABT-10103-A4","DIGI,H2ABT-10103-A4-ND","","","","","","","",""
"C+1","CONN_01X01","Wire_Pads:SolderWirePad_single_0-8mmDrill","","HIROSE,H2ABT-10103-A4","DIGI,H2ABT-10103-A4-ND","","","","","","","",""
