220uF 16V,2,"C2 C3",kemet,T491D227K016AT,DIGI,399-10429-1-ND,sky-macau.com,8702041755
330uF 35V,1,"C1",unitedchem,EMVY350ADA331MJA0G,DIGI,565-2479-1-ND
7.5V,1,"D1",diodesinc,BZT52C7V5-7-F,DIGI,BZT52C7V5-FDICT-ND,sky-macau.com,5633100308
14V,1,"D2",FAIRCHILD,1N5244B,DIGI,1N5244B-ND, 
24V,1,"D3",MicroComercial,1N5359B-TP,DIGI,1N5359BTPMSCT-ND,sky-macau.com,0533550982
DIODESCH,1,"D6",do no populate,DNP,sky-macau.com,1438219496
SCHDPAK,1,"D4",VISHAY,VS-50WQ04FNPBF,DIGI,VS-50WQ04FNPBF-ND,DO NOT POPULATE
LED-grn,1,"D5",lite-on,LTST-C171GKT,DIGI,160-1423-1-ND
5A,1,"F1",0R,jumperwire,0R,jumperwire
38uH,2,"L1 L2",ref_PULSE_ref,ref_PE-54040-S_ref-use-sky-macau-number,sky-macau.com,3817361683
CONN_2,2,"P1 P3",-,-,sky-macau.com,9554316569
CONN_1,1,"P2",DO NOT POPULATE,DNP,DO NOT POPULATE,DNP
CONN_1,1,"P4",dnp,dnp,dnp,dnp
200V,1,"Q2",IXYS,IXTA6N50D2,digikey,IXTA6N50D2-ND
20V,1,"Q1",Vishay,SQ2301ES-T1-GE3,Newark,64T4128,Mouser,78-SQ2301ES-T1_GE3
1k,1,"R2",Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND
39k,1,"R1",ECG,ERA6AEB393V,DIGI,P39KDACT-ND
100k,1,"R3",ECG,ERA6AEB104V,DIGI,P100KDACT-ND
LM2596,1,"U1",linear,2596-5.0,DIGI,LM2596S-5.0/NOPB-ND,sky-macau.com,6841999795
